time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
44,2.25,0.0,0.026293404400348663,0.0,26400,0.0,100.0,260,214.77695,0.0,588,2.4742111150735404,0.056221629900392145,-17.137045443058014,0.2816836922429502,0.1986016291193664,-2.3844218775629997,98.0,0.08201447210740298,98.0,0.0003,37.262674391269684,3200,0.08425255713518709
44,,,0.026293404400348663,,26400,0.0,100.0,264,214.77695,,588,,,,,,,,,,,,,
44,1.83,0.0,0.02632329799234867,0.0,27200,0.0,100.0,268,221.244,0.0,611,2.8965770159415962,0.05311013082973659,-16.33796000480652,0.27713989932090044,0.1937550650909543,-4.343585439026356,98.0,0.07896011974662542,98.0,0.0003,36.87713938951492,3328,0.0827412725193426
44,,,0.02632329799234867,,27200,0.0,100.0,272,221.244,,611,,,,,,,,,,,,,
44,0.39,0.0,0.026338083669543266,0.0,28000,0.0,100.0,276,224.82225,0.0,624,2.5740138244699784,0.051797711406834424,-16.807603895664215,0.27796881133690476,0.19191670091822743,-5.241776183247566,98.0,0.07754497067071497,98.0,0.0003,36.816461622714996,3392,0.0810107383877039
44,,,0.026338083669543266,,28000,0.0,100.0,280,224.82225,,624,,,,,,,,,,,,,
44,0.96,0.0,0.02636638469994068,0.0,28800,0.0,100.0,284,227.28308,0.0,646,2.788028744201617,0.05378497170750052,-17.869018703699112,0.27497742930427194,0.19099353440105915,-6.27419089525938,98.0,0.07468816405162215,98.0,0.0003,36.58559548854828,3520,0.08142787398537621
44,,,0.02636638469994068,,28800,0.0,100.0,288,227.28308,,646,,,,,,,,,,,,,
44,1.23,0.0,0.026381395757198334,0.0,29600,0.0,100.0,292,228.8409,0.0,659,2.6191822268215468,0.05132551537826657,-16.612386614084244,0.2781337988562882,0.19264247291721404,-6.736363068223,98.0,0.07331216940656304,98.0,0.0003,37.16855847835541,3584,0.08162649255245924
44,,,0.026381395757198334,,29600,0.0,100.0,296,228.8409,,659,,,,,,,,,,,,,
44,1.92,0.0,0.026411283761262894,0.0,30400,0.0,100.0,300,232.1981,0.0,682,2.9542921984301405,0.045761859335470945,-16.730098888278008,0.2780335370916873,0.18762085121124983,-8.97828970104456,98.0,0.07072582049295306,98.0,0.0003,36.63641667366028,3712,0.0779352696845308
44,,,0.026411283761262894,,30400,0.0,100.0,304,232.1981,,682,,,,,,,,,,,,,
44,1.62,0.0,0.026426265016198158,0.0,31200,0.0,100.0,308,235.46301,0.0,696,2.4106632179661616,0.044127405155450106,-16.649865865707397,0.27571665216237307,0.18756598769687116,-9.84118727594614,98.0,0.06949156033806503,98.0,0.0003,36.33612513542175,3776,0.07709563930984586
44,,,0.026426265016198158,,31200,0.0,100.0,312,235.46301,,696,,,,,,,,,,,,,
44,1.35,0.0,0.026456071063876152,0.0,32000,0.0,100.0,316,240.06761,0.0,718,2.8714735132470923,0.04202057796646841,-16.626356840133667,0.2729574521072209,0.19167071999982,-10.696493193507195,98.0,0.06706886785104871,98.0,0.0003,36.150701224803925,3904,0.07687402819283307
44,,,0.026456071063876152,,32000,0.0,100.0,320,240.06761,,718,,,,,,,,,,,,,
