time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
332,282.02972,0.0,100.0,75,437,33200,0.02572467550635338,-80.02138614654541,7.621123284101486,0.0003,8096,-8.784929752349854,0.023725664941594005
336,283.09537,0.0,100.0,75,442,33600,0.025723757222294807,-81.12398624420166,6.993921488523483,0.0003,8192,-11.792421638965607,0.02326627040747553
340,282.672,0.0,100.0,75,448,34000,0.025724846869707108,-82.14662456512451,5.957661658525467,0.0003,8304,-12.387126684188843,0.02270840818528086
344,282.15002,0.0,100.0,75,454,34400,0.025726089254021645,-82.5100474357605,6.668551042675972,0.0003,8400,-11.503462374210358,0.022293032961897552
348,282.5245,0.0,100.0,75,459,34800,0.025724727660417557,-83.35092973709106,6.423592790961266,0.0003,8496,-12.090293973684311,0.021823015064001083
352,283.05554,0.0,100.0,75,464,35200,0.025725362822413445,-84.279305934906,6.339289724826813,0.0003,8592,-12.193746984004974,0.0213871649466455
356,282.72937,0.0,100.0,75,470,35600,0.025723742321133614,-84.49696969985962,6.782533764839172,0.0003,8704,-11.037620961666107,0.02092097664717585
360,282.39893,0.0,100.0,75,475,36000,0.025718802586197853,-85.21133518218994,7.167307510972023,0.0003,8800,-10.113250076770782,0.02055519074201584
364,282.40097,0.0,100.0,75,480,36400,0.025716830044984818,-85.89667177200317,6.200762689113617,0.0003,8896,-8.133370600640774,0.020243961247615516
368,282.19696,0.0,100.0,75,485,36800,0.02571757882833481,-86.88616847991943,5.278223812580109,0.0003,8992,-8.884872868657112,0.01993976009543985
372,282.33575,0.0,100.0,75,491,37200,0.025717534124851227,-87.7747654914856,5.668441489338875,0.0003,9104,-9.39635968208313,0.019596434314735234
376,281.54663,0.0,100.0,75,496,37600,0.025715287774801254,-88.09951972961426,5.70747497677803,0.0003,9200,-7.765075668692589,0.019272354780696332
380,281.74338,0.0,100.0,75,502,38000,0.025717658922076225,-89.24421834945679,6.490447908639908,0.0003,9296,-8.026679120957851,0.018998527666553855
384,281.19128,0.0,100.0,75,507,38400,0.025717012584209442,-89.82047891616821,6.373597830533981,0.0003,9392,-7.862499825656414,0.018720493535511196
388,280.79327,0.0,100.0,75,513,38800,0.02571484073996544,-90.83850908279419,6.465787559747696,0.0003,9504,-6.545234180986881,0.018377641448751092
392,279.81757,0.0,100.0,75,518,39200,0.025715654715895653,-91.55248308181763,5.782192438840866,0.0003,9600,-6.362936791032553,0.018106070579960942
396,280.059,0.0,100.0,75,524,39600,0.02570750191807747,-92.43191242218018,6.089149236679077,0.0003,9696,-7.896999413147569,0.01781820983160287
400,281.15683,0.0,100.0,75,529,40000,0.02571030706167221,-92.72588396072388,6.695356070995331,0.0003,9792,-9.921234369277954,0.017561922781169415
404,281.9151,0.0,100.0,75,535,40400,0.025709960609674454,-93.52445459365845,6.62803915143013,0.0003,9904,-9.515131995081902,0.01728615548927337
408,280.51892,0.0,100.0,75,540,40800,0.025705523788928986,-94.74560689926147,7.036461353302002,0.0003,10000,-1.5301882401108742,0.017055470845662057
412,280.3281,0.0,100.0,75,545,41200,0.0257052443921566,-95.22033739089966,6.405846178531647,0.0003,10096,-3.5472155697643757,0.01689860282931477
416,280.61792,0.0,100.0,75,550,41600,0.02570422738790512,-95.69395685195923,5.88550141453743,0.0003,10192,-1.7262297458946705,0.016746433917433023
420,282.5553,0.0,100.0,75,556,42000,0.025701452046632767,-96.86434364318848,6.658812507987022,0.0003,10304,-7.1009554620832205,0.016548249521292746
424,285.05206,0.0,100.0,75,562,42400,0.025704843923449516,-97.37285661697388,5.9226672649383545,0.0003,10400,-0.7918938286602497,0.01643005246296525
428,290.58472,0.0,100.0,75,567,42800,0.025697868317365646,-97.6744475364685,6.517271965742111,0.0003,10496,-3.6318817920982838,0.016321018571034074
432,292.87997,0.0,100.0,75,573,43200,0.0256948284804821,-98.26760768890381,6.663300842046738,0.0003,10592,-2.0034987404942513,0.01620387041475624
436,295.31555,0.0,100.0,75,579,43600,0.025695959106087685,-98.93438291549683,5.471496000885963,0.0003,10704,-0.7081231996417046,0.016117257298901677
440,297.0856,0.0,100.0,75,585,44000,0.02569366618990898,-99.70915603637695,6.254200369119644,0.0003,10800,-2.4542690999805927,0.01600846741348505
444,299.1796,0.0,100.0,75,590,44400,0.02569846250116825,-100.53423070907593,5.91909447312355,0.0003,10896,-2.1945834290236235,0.01592305744998157
448,300.8573,0.0,100.0,75,595,44800,0.025695528835058212,-101.42869520187378,6.143537566065788,0.0003,10992,-2.8076817877590656,0.015792037127539515
452,302.4461,0.0,100.0,75,602,45200,0.025690371170639992,-102.73325681686401,6.181374594569206,0.0003,11104,-0.04140152595937252,0.015594588767271489
