rollout/ep_rew_mean,time/total_timesteps,time/fps,reward/static_reward,reward/info_exist_reward,time/time_elapsed,rollout/success_rate,reward/grasp_reward,train/std,reward/approach_reward,rollout/ep_len_mean,reward/goal_reward,time/episodes,rollout/success_rate_once,train/n_updates,train/actor_loss,train/critic_loss,train/aux_weight,train/learning_rate,train/critic_aux_loss,train/actor_aux_loss,train/ent_coef_loss,train/actor_target_loss,train/critic_target_loss,train/target_weight,train/ent_coef
302.1173,1274400,41,0.0,0.27,30739,0.21,0.3,0.14038163423538208,2.0159043402275842,100.0,0.1792906180127499,12740,0.31,159232,-161.8860626220703,68.4614846110344,28.00546374766822,0.0003,0.28460201621055603,0.0885402817511931,-0.4134848607936874,0.012267708989384118,0.10240480955690145,28.00546374766822,0.036678970558568835
302.1173,1274400,41,,,30739,0.21,,0.14038163423538208,,100.0,,12744,,,,,,,,,,,,,
297.58835,1275200,41,0.0,0.285,30753,0.19,0.54,0.14035150408744812,3.995320995138004,100.0,0.22644242814813292,12748,0.29,159296,-161.8724331855774,62.84462010860443,28.00546374766822,0.0003,0.28534083627164364,0.08835057017859071,0.0878691435791552,0.012202121906739194,0.1002326620509848,28.00546374766822,0.03657539375126362
297.58835,1275200,41,,,30753,0.19,,0.14035150408744812,,100.0,,12752,,,,,,,,,,,,,
294.43954,1276000,41,0.0,0.3,30776,0.19,0.0,0.14032427966594696,3.7266255452423525,100.0,0.0,12756,0.28,159424,-161.5777235031128,69.56539177894592,28.00546374766822,0.0003,0.28659563791006804,0.08823835325893015,0.058645533048547804,0.011661992866720539,0.10065009957179427,28.00546374766822,0.036547932075336576
294.43954,1276000,41,,,30776,0.19,,0.14032427966594696,,100.0,,12760,,,,,,,,,,,,,
290.0134,1276800,41,0.0,0.264,30790,0.17,0.63,0.14031413197517395,4.25807191074215,100.0,0.21578383108459864,12764,0.27,159488,-161.675714969635,65.22575551271439,28.00546374766822,0.0003,0.286852837074548,0.08741645014379174,0.052868484519422054,0.011827504204120487,0.09906201914418489,28.00546374766822,0.03658652602462098
290.0134,1276800,41,,,30790,0.17,,0.14031413197517395,,100.0,,12768,,,,,,,,,,,,,
294.94263,1277600,41,0.0,0.3,30814,0.2,0.06,0.1402323842048645,3.049567995929044,100.0,0.014575548282776267,12772,0.3,159616,-160.96143317222595,66.27832382917404,28.00546374766822,0.0003,0.2892487905919552,0.08783540118020028,0.43196345469914377,0.011111908126622438,0.10088688263203949,28.00546374766822,0.0366080001113005
294.94263,1277600,41,,,30814,0.2,,0.1402323842048645,,100.0,,12776,,,,,,,,,,,,,
