rollout/ep_len_mean,time/total_timesteps,train/std,rollout/ep_rew_mean,rollout/success_rate,time/episodes,time/fps,time/time_elapsed,reward/info_exist_reward,reward/grasp_reward,reward/approach_reward,rollout/success_rate_once,reward/goal_reward,reward/static_reward,train/aux_weight,train/target_weight,train/actor_target_loss,train/critic_aux_loss,train/critic_target_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/actor_aux_loss,train/ent_coef_loss,train/learning_rate
100.0,1601600,0.13973578810691833,289.9785,0.18,16012,41,38612,0.3,0.78,4.208525912440034,0.29,0.30851849623488325,0.0,19.864885008204062,19.864885008204062,0.009664156117651146,0.32851148722693324,0.10245068755466491,0.03482547850580886,-148.61639785766602,47.97603243589401,200128,0.09931022732052952,-0.5109707931987941,0.0003
100.0,1601600,0.13973578810691833,289.9785,0.18,16016,41,38612,,,,,,,,,,,,,,,,,,
100.0,1602400,0.1397182047367096,292.98383,0.2,16020,41,38624,0.3,0.0,3.523277710670387,0.3,0.0,0.0,19.864885008204062,19.864885008204062,0.01075172089622356,0.32791202794760466,0.10136993462219834,0.03470111865317449,-150.0156626701355,49.19032043218613,200192,0.09854258608538657,-0.971443121903576,0.0003
100.0,1602400,0.1397182047367096,292.98383,0.2,16024,41,38624,,,,,,,,,,,,,,,,,,
100.0,1603200,0.13969871401786804,292.16898,0.18,16028,41,38648,0.3,0.75,4.711100941701823,0.29,0.31088258109409656,0.0,19.864885008204062,19.864885008204062,0.010256427063723095,0.32617438258603215,0.09845595736987889,0.034524673072155565,-149.39953708648682,48.719951808452606,200320,0.09860319341532886,-0.46545744966715574,0.0003
100.0,1603200,0.13969871401786804,292.16898,0.18,16032,41,38648,,,,,,,,,,,,,,,,,,
100.0,1604000,0.13967491686344147,293.88913,0.19,16036,41,38662,0.29399999999999993,0.54,3.3289623088101337,0.3,0.23904278451735575,0.0,19.864885008204062,19.864885008204062,0.009852292590949219,0.3237917213700712,0.09877895447425544,0.034459646383766085,-149.80327224731445,50.703812420368195,200384,0.09859982714988291,0.31386935454793274,0.0003
100.0,1604000,0.13967491686344147,293.88913,0.19,16040,41,38662,,,,,,,,,,,,,,,,,,
100.0,1604800,0.13965201377868652,289.03604,0.18,16044,41,38685,0.285,0.0,4.09235718009951,0.3,0.0,0.0,19.864885008204062,19.864885008204062,0.010637555405992316,0.3266637776978314,0.10018269962165505,0.034550471405964345,-150.5312213897705,51.58112871646881,200512,0.09896965860389173,0.01779929967597127,0.0003
100.0,1604800,0.13965201377868652,289.03604,0.18,16048,41,38685,,,,,,,,,,,,,,,,,,
