rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
145.7929,560,0.0,25600,,100.0,45,0.026242021471261978,,,,256,,,,,,,,,,,,,
146.14613,582,0.0,26400,0.0,100.0,45,0.026272302493453026,3.053559321747808,0.0,0.0,260,0.153,0.2660577790811658,0.0003,34.483364909887314,2.00941639021039,-17.58364586532116,3200,0.16881584166549146,98.0,98.0,0.050357080704998225,0.08104873797856271,0.08352322562132031
146.14613,582,0.0,26400,,100.0,45,0.026272302493453026,,,,264,,,,,,,,,,,,,
146.66103,604,0.0,27200,0.0,100.0,44,0.026301778852939606,2.5795733641908094,0.0,0.0,268,0.12,0.26236205850727856,0.0003,33.98286485671997,0.8789987899363041,-16.895561382174492,3328,0.16595493932254612,98.0,98.0,0.04894171777414158,0.07811123935971409,0.08227689354680479
146.66103,604,0.0,27200,,100.0,44,0.026301778852939606,,,,272,,,,,,,,,,,,,
147.3047,617,0.0,28000,0.0,100.0,45,0.02631707303225994,2.682503151980613,0.0,0.0,276,0.032999999999999995,0.26295012421905994,0.0003,33.94966408610344,0.9161611460149288,-17.903220742940903,3392,0.1703229509294033,98.0,98.0,0.04834916052641347,0.07671648391988128,0.08140929194632918
147.3047,617,0.0,28000,,100.0,45,0.02631707303225994,,,,280,,,,,,,,,,,,,
146.82542,639,0.0,28800,0.0,100.0,45,0.026344431564211845,2.5778219304856145,0.0,0.0,284,0.018000000000000002,0.2644810467027128,0.0003,34.0313286781311,-0.05392933264374733,-18.59078238904476,3520,0.17070241831243038,98.0,98.0,0.0460965508245863,0.073904900229536,0.08068809297401458
146.82542,639,0.0,28800,,100.0,45,0.026344431564211845,,,,288,,,,,,,,,,,,,
148.17426,652,0.0,29600,0.0,100.0,45,0.02635933831334114,2.9390196056083977,0.0,0.0,292,0.14699999999999996,0.2648128247819841,0.0003,34.144088447093964,0.24941087514162064,-17.592618614435196,3584,0.1750622580293566,98.0,98.0,0.047399202652741224,0.07254472188651562,0.08134551555849612
148.17426,652,0.0,29600,,100.0,45,0.02635933831334114,,,,296,,,,,,,,,,,,,
149.08293,674,0.0,30400,0.0,100.0,45,0.026389651000499725,3.018205937441964,0.0,0.0,300,0.11999999999999998,0.26050578127615154,0.0003,33.184229016304016,-1.9409855268895626,-17.89660407602787,3712,0.16814089915715158,98.0,98.0,0.0393174720229581,0.06995010829996318,0.07586567720863968
149.08293,674,0.0,30400,,100.0,45,0.026389651000499725,,,,304,,,,,,,,,,,,,
149.27774,687,0.0,31200,0.0,100.0,45,0.026403997093439102,2.6951591418315313,0.0,0.0,308,0.07799999999999999,0.2632045689970255,0.0003,33.456916481256485,-2.0364161618053913,-17.91589692234993,3776,0.1695035940501839,98.0,98.0,0.040302969806361943,0.06871115253306925,0.07591078523546457
149.27774,687,0.0,31200,,100.0,45,0.026403997093439102,,,,312,,,,,,,,,,,,,
149.57936,709,0.0,32000,0.0,100.0,45,0.026434261351823807,2.530986317949984,0.0,0.0,316,0.0,0.25825798464939,0.0003,33.03021040558815,-3.0589274279773235,-17.573960572481155,3904,0.16687437146902084,98.0,98.0,0.03895430779084563,0.06625943316612393,0.07649690785910934
149.57936,709,0.0,32000,,100.0,45,0.026434261351823807,,,,320,,,,,,,,,,,,,
150.4564,733,0.0,32800,0.0,100.0,44,0.026463331654667854,2.7334978591708716,0.0,0.0,324,0.0,0.25915968604385853,0.0003,32.982085675001144,-3.328491870313883,-18.204316705465317,4032,0.17222022241912782,98.0,98.0,0.038378331635612994,0.06390464887954295,0.07466699660290033
150.4564,733,0.0,32800,,100.0,44,0.026463331654667854,,,,328,,,,,,,,,,,,,
152.10081,745,0.0,33600,0.0,100.0,45,0.02647797390818596,2.8656214819309622,0.0,0.0,332,0.0,0.2617754372768104,0.0003,33.25655287504196,-3.8506599441170692,-18.71584178507328,4096,0.17029593349434435,98.0,98.0,0.038474394619697705,0.06274351215688512,0.07508885621791705
152.10081,745,0.0,33600,,100.0,45,0.02647797390818596,,,,336,,,,,,,,,,,,,
151.79306,768,0.0,34400,0.0,100.0,44,0.02650824747979641,2.8105426104963227,0.0,0.0,340,0.03599999999999999,0.25848261429928243,0.0003,32.918526858091354,-5.389654021710157,-19.191450729966164,4224,0.16410896508023143,98.0,98.0,0.03580519696697593,0.06051286030560732,0.07481483253650367
151.79306,768,0.0,34400,,100.0,44,0.02650824747979641,,,,344,,,,,,,,,,,,,
151.87527,781,0.0,35200,0.0,100.0,45,0.026523416861891747,2.829419565525994,0.0,0.0,348,0.07799999999999999,0.25934517197310925,0.0003,32.78996327519417,-5.565557576715946,-18.168404698371887,4288,0.16534637054428458,98.0,98.0,0.03562209368101321,0.05941213952610269,0.07284991565393284
