time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
45,0.02659679763019085,767,0.0,35200,348,266.4402,100.0,98.0,0.24673819937743247,4288,-20.354410082101822,0.17348760343156755,98.0,-16.869780473411083,0.0003,0.0707009713514708,0.03830947499955073,0.060368872771505266,33.487515062093735
45,0.02659679763019085,767,0.0,35200,352,266.4402,100.0,,,,,,,,,,,,
45,0.026630612090229988,789,0.0,36000,356,267.79068,100.0,98.0,0.24572308571077883,4416,-20.98606315255165,0.1792498251888901,98.0,-16.494651064276695,0.0003,0.06867236533435062,0.03718834585743025,0.05841233517276123,32.898270308971405
45,0.026630612090229988,789,0.0,36000,360,267.79068,100.0,,,,,,,,,,,,
45,0.026648152619600296,801,0.0,36800,364,269.36057,100.0,98.0,0.2421184815466404,4480,-23.051410406827927,0.16678889701142907,98.0,-16.44423846900463,0.0003,0.07311911083525047,0.03548361064167693,0.05742846691282466,32.955725610256195
45,0.026648152619600296,801,0.0,36800,368,269.36057,100.0,,,,,,,,,,,,
45,0.02668166346848011,823,0.0,37600,372,272.12512,100.0,98.0,0.2431182051077485,4608,-23.190214604139328,0.17604018771089613,98.0,-16.07724343240261,0.0003,0.07150862680282444,0.03809802111936733,0.0555461787735112,32.85800465941429
45,0.02668166346848011,823,0.0,37600,376,272.12512,100.0,,,,,,,,,,,,
45,0.026699045673012733,835,0.0,38400,380,273.13174,100.0,98.0,0.2388274280820042,4672,-24.21809297800064,0.17116116336546838,98.0,-15.330160826444626,0.0003,0.07071413047378883,0.03728854702785611,0.054647200100589544,32.422094494104385
45,0.026699045673012733,835,0.0,38400,384,273.13174,100.0,,,,,,,,,,,,
